wavenumber	X\=(H\-(2)O,(3))	X\=(H\-(2)O,(3))
cm\+(-1)	m\+(2)V\+(-2)	m\+(2)V\+(-2)
Yujie's data X3_h2o_bulk	Re	Im
2798.9218	1.6389206E-20	3.3761465E-21
2811.4011	1.6312175E-20	3.7899601E-21
2823.8803	1.6267454E-20	4.249484E-21
2836.3595	1.6263839E-20	4.7620426E-21
2848.8388	1.6259785E-20	5.3585266E-21
2861.318	1.6419557E-20	5.7178948E-21
2873.7972	1.6659799E-20	6.0373414E-21
2886.2764	1.6968465E-20	6.432163E-21
2898.7557	1.7343431E-20	6.86675E-21
2911.2349	1.7783143E-20	7.3442108E-21
2923.7141	1.8273706E-20	7.8623403E-21
2936.1934	1.8789277E-20	8.4127223E-21
2948.6726	1.9311269E-20	8.9394243E-21
2961.1518	1.9798833E-20	9.469022E-21
2968.2828	1.9990781E-20	9.7156264E-21
2978.9793	2.0257786E-20	1.010899E-20
2991.4585	2.0578042E-20	1.0539382E-20
3003.9378	2.0821739E-20	1.1052476E-20
3016.417	2.093082E-20	1.1851735E-20
3028.8962	2.0996341E-20	1.2715836E-20
3041.3754	2.1028828E-20	1.3593749E-20
3053.8547	2.0999522E-20	1.4595048E-20
3066.3339	2.0947617E-20	1.562525E-20
3078.8131	2.0856388E-20	1.6745007E-20
3091.2924	2.0751758E-20	1.7912437E-20
3103.7716	2.0655733E-20	1.9315773E-20
3116.2508	2.0399029E-20	2.0743714E-20
3128.73	2.0005791E-20	2.2032383E-20
3141.2093	1.9620849E-20	2.3516271E-20
3153.6885	1.903278E-20	2.5074762E-20
3166.1677	1.8177376E-20	2.6627066E-20
3178.647	1.7032728E-20	2.8124377E-20
3191.1262	1.5344384E-20	2.9501425E-20
3203.6054	1.3334231E-20	3.0637381E-20
3216.0847	1.1150866E-20	3.1384586E-20
3228.5639	8.9445161E-21	3.1778543E-20
3241.0431	6.5078826E-21	3.193021E-20
3253.5223	4.2205846E-21	3.1801149E-20
3266.0016	2.1795344E-21	3.1484651E-20
3278.4808	3.2490456E-22	3.1024965E-20
3290.96	-1.212586E-21	3.045587E-20
3303.4393	-2.5036411E-21	2.9815066E-20
3315.9185	-3.6154823E-21	2.9109667E-20
3328.3977	-4.6137199E-21	2.8360501E-20
3340.877	-5.6158447E-21	2.7553524E-20
3353.3562	-6.6236079E-21	2.672475E-20
3365.8354	-7.4821331E-21	2.5956461E-20
3378.3146	-8.2157318E-21	2.5285423E-20
3390.7939	-9.0009586E-21	2.4676315E-20
3403.2731	-9.8894476E-21	2.408901E-20
3415.7523	-1.0871819E-20	2.3485697E-20
3428.2316	-1.1909797E-20	2.278134E-20
3440.7108	-1.2897361E-20	2.1912861E-20
3453.19	-1.393674E-20	2.0787047E-20
3465.6693	-1.493897E-20	1.9342719E-20
3478.1485	-1.5825923E-20	1.7650671E-20
3490.6277	-1.6508434E-20	1.5764781E-20
3503.1069	-1.6972868E-20	1.3744357E-20
3515.5862	-1.6954658E-20	1.2049048E-20
3528.0654	-1.6672241E-20	1.0531609E-20
3540.5446	-1.6265969E-20	9.0758457E-21
3553.0239	-1.5777446E-20	7.708814E-21
3565.5031	-1.5216888E-20	6.3965906E-21
3577.9823	-1.4507888E-20	5.3608742E-21
3590.4615	-1.3563508E-20	4.9152772E-21
3602.9408	-1.2651244E-20	4.3759411E-21
3615.42	-1.1729697E-20	3.8112096E-21
3627.8992	-1.0787726E-20	3.4303593E-21
3640.3785	-9.605449E-21	3.1432562E-21
3652.8577	-8.4490206E-21	2.9422603E-21
